feature,semantic_type,dictionary_data_type,feature_description,missing_percent,unique_values,level1_findings,category_inconsistency,level1_status,decision_rule,decision_reason,baseline_action,level2_followup
pre_icu_los_days,CONTINUOUS,numeric,The length of stay of the patient between hospital admission and unit admission,0.0,9757,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE | A3_HAS_NEGATIVE_VALUES | A3_HAS_ZERO_VALUES | REPEATED_A1_A2_A3_FOLLOWUP,,INVESTIGATE,06_SPECIAL_SEMANTIC_INVESTIGATION,REPEATED_UNUSUAL_BEHAVIOR_ACROSS_LEVEL1,KEEP_RAW_UNTIL_RESOLVED,VERIFY_FEATURE_DEFINITION_AND_TARGET_RELATIONSHIP
readmission_status,BINARY,binary,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,0.0,1,CONSTANT_FEATURE | A1_LOW_UNIQUE_VALUES | A4_EXTREME_VALUE_DOMINANCE,,DROP,04_CONSTANT,CONSTANT_FEATURE,REMOVE,NONE
weight,CONTINUOUS,numeric,The weight (body mass) of the person on unit admission,2.97,3409,A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
albumin_apache,CONTINUOUS,numeric,The albumin concentration measured during the first 24 hours which results in the highest APACHE III score,59.29,35,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
apache_2_diagnosis,CATEGORICAL_CODE,string,The APACHE II diagnosis for the ICU admission,1.81,44,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_NOTICEABLE_SKEWNESS | NUMERIC_CATEGORICAL_CODE,,KEEP_FOR_NOW,11_CATEGORICAL_CODE,NUMERIC_STORAGE_WITH_CATEGORICAL_SEMANTICS,KEEP_RAW_UNTIL_ENCODING_STRATEGY_DEFINED,TARGET_RELATIONSHIP_AND_ENCODING_REVIEW
apache_3j_diagnosis,CATEGORICAL_CODE,string,The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission,1.2,399,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS | NUMERIC_CATEGORICAL_CODE,,KEEP_FOR_NOW,11_CATEGORICAL_CODE,NUMERIC_STORAGE_WITH_CATEGORICAL_SEMANTICS,KEEP_RAW_UNTIL_ENCODING_STRATEGY_DEFINED,TARGET_RELATIONSHIP_AND_ENCODING_REVIEW
apache_post_operative,BINARY,binary,"The APACHE operative status; 1 for post-operative, 0 for non-operative",0.0,2,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,KEEP_RAW,TARGET_RELATIONSHIP
arf_apache,BINARY,binary,"Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis",0.78,2,A1_LOW_UNIQUE_VALUES | A4_HIGH_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
bilirubin_apache,CONTINUOUS,numeric,The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score,63.39,362,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
bun_apache,CONTINUOUS,numeric,The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score,21.0,476,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
creatinine_apache,CONTINUOUS,numeric,The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score,20.56,1127,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
fio2_apache,CONTINUOUS,numeric,The fraction of inspired oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27,82,HIGH_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
gcs_eyes_apache,ORDINAL,integer,The eye opening component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.07,4,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,12_ORDINAL,ORDERED_CLINICAL_FEATURE,NUMERIC_IMPUTATION_KEEP_ORDER,TARGET_RELATIONSHIP
gcs_motor_apache,ORDINAL,integer,The motor component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.07,6,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,12_ORDINAL,ORDERED_CLINICAL_FEATURE,NUMERIC_IMPUTATION_KEEP_ORDER,TARGET_RELATIONSHIP
gcs_unable_apache,BINARY,binary,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,1.13,2,A1_LOW_UNIQUE_VALUES | A4_EXTREME_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
gcs_verbal_apache,ORDINAL,integer,The verbal component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,2.07,5,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,12_ORDINAL,ORDERED_CLINICAL_FEATURE,NUMERIC_IMPUTATION_KEEP_ORDER,TARGET_RELATIONSHIP
glucose_apache,CONTINUOUS,numeric,The glucose concentration measured during the first 24 hours which results in the highest APACHE III score,12.03,565,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
heart_rate_apache,CONTINUOUS,numeric,The heart rate measured during the first 24 hours which results in the highest APACHE III score,0.96,149,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
hematocrit_apache,CONTINUOUS,numeric,The hematocrit measured during the first 24 hours which results in the highest APACHE III score,21.67,353,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
intubated_apache,BINARY,binary,Whether the patient was intubated at the time of the highest scoring arterial blood gas used in the oxygenation score,0.78,2,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
map_apache,CONTINUOUS,numeric,The mean arterial pressure measured during the first 24 hours which results in the highest APACHE III score,1.08,161,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
paco2_apache,CONTINUOUS,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27,704,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
paco2_for_ph_apache,CONTINUOUS,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27,704,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
pao2_apache,CONTINUOUS,numeric,The partial pressure of oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,77.27,2003,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
ph_apache,CONTINUOUS,numeric,The pH from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,77.27,555,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
resprate_apache,CONTINUOUS,numeric,The respiratory rate measured during the first 24 hours which results in the highest APACHE III score,1.35,74,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
sodium_apache,CONTINUOUS,numeric,The sodium concentration measured during the first 24 hours which results in the highest APACHE III score,20.28,119,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
temp_apache,CONTINUOUS,numeric,The temperature measured during the first 24 hours which results in the highest APACHE III score,4.48,191,A1_NOTICEABLE_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
urineoutput_apache,CONTINUOUS,numeric,The total urine output for the first 24 hours,53.43,24772,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
ventilated_apache,BINARY,binary,"Whether the patient was invasively ventilated at the time of the highest scoring arterial blood gas using the oxygenation scoring algorithm, including any mode of positive pressure ventilation delivered through a circuit attached to an endo-tracheal tube or tracheostomy",0.78,2,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
wbc_apache,CONTINUOUS,numeric,The white blood cell count measured during the first 24 hours which results in the highest APACHE III score,24.0,3075,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_diasbp_invasive_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.13,145,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_diasbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.13,85,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_diasbp_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.18,120,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_diasbp_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.18,78,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_diasbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.13,120,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_diasbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.13,78,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_heartrate_max,CONTINUOUS,numeric,The patient's highest heart rate during the first 24 hours of their unit stay,0.16,120,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_heartrate_min,CONTINUOUS,numeric,The patient's lowest heart rate during the first 24 hours of their unit stay,0.16,154,A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
d1_mbp_invasive_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, invasively measured",73.9,285,HIGH_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_mbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, invasively measured",73.9,118,HIGH_MISSINGNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_mbp_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.24,125,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_mbp_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.24,91,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_mbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.61,122,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_mbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.61,91,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_resprate_max,CONTINUOUS,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay,0.42,79,A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_resprate_min,CONTINUOUS,numeric,The patient's lowest respiratory rate during the first 24 hours of their unit stay,0.42,55,A2_NOTICEABLE_OUTLIERS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
d1_spo2_max,CONTINUOUS,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36,43,A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
d1_spo2_min,CONTINUOUS,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay,0.36,101,A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS | A3_HAS_ZERO_VALUES,,KEEP_FOR_NOW,10_PHYSIOLOGICAL_ZERO,ZERO_MAY_REPRESENT_CLINICAL_SIGNAL,NUMERIC_BASELINE_IMPUTATION,ZERO_VALUE_VS_TARGET_ANALYSIS
d1_sysbp_invasive_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.1,225,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_sysbp_invasive_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",74.1,163,HIGH_MISSINGNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_sysbp_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17,143,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_sysbp_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",0.17,120,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_sysbp_noninvasive_max,CONTINUOUS,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.12,143,A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_sysbp_noninvasive_min,CONTINUOUS,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",1.12,120,NO_SPECIAL_FINDING,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_temp_max,CONTINUOUS,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured",2.53,186,A1_NOTICEABLE_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
d1_temp_min,CONTINUOUS,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay,2.53,209,A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,15_NUMERIC_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
h1_diasbp_invasive_max,CONTINUOUS,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, invasively measured",81.7,103,EXTREME_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
