feature,dtype,missing_count,missing_percent,unique_values,dictionary_category,unit,dictionary_data_type,description,example,uniqueness_ratio,high_missing_flag,high_cardinality_flag,decision,decision_reason,deep_review_status,final_decision,notes
icu_type,str,0,0.0,8,demographic,,string,A classification which indicates the type of care the unit is capable of providing,Neurological ICU,8.722863716158014e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
pre_icu_los_days,float64,0,0.0,9757,demographic,Days,numeric,The length of stay of the patient between hospital admission and unit admission,3.5,0.10638622659819219,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
readmission_status,int64,0,0.0,1,demographic,,binary,Whether the current unit stay is the second (or greater) stay at an ICU within the same hospitalization,0,1.0903579645197518e-05,False,False,DROP,Known identifier or constant feature.,NOT_REVIEWED,,
weight,float64,2720,2.965773663493725,3409,demographic,kilograms,numeric,The weight (body mass) of the person on unit admission,80,0.03717030301047834,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
albumin_apache,float64,54379,59.292575752619584,35,APACHE covariate,g/L,numeric,The albumin concentration measured during the first 24 hours which results in the highest APACHE III score,30,0.00038162528758191316,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
apache_2_diagnosis,float64,1662,1.812174937031828,44,APACHE covariate,,string,The APACHE II diagnosis for the ICU admission,308,0.0004797575043886908,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
apache_3j_diagnosis,float64,1101,1.2004841189362467,399,APACHE covariate,,string,The APACHE III-J sub-diagnosis code which best describes the reason for the ICU admission,1405,0.00435052827843381,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
apache_post_operative,int64,0,0.0,2,APACHE covariate,,binary,"The APACHE operative status; 1 for post-operative, 0 for non-operative",1,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
arf_apache,float64,715,0.7796059446316226,2,APACHE covariate,,binary,"Whether the patient had acute renal failure during the first 24 hours of their unit stay, defined as a 24 hour urine output <410ml, creatinine >=133 micromol/L and no chronic dialysis",0,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
bilirubin_apache,float64,58134,63.38686990939125,362,APACHE covariate,micromol/L,numeric,The bilirubin concentration measured during the first 24 hours which results in the highest APACHE III score,20,0.003947095831561501,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
bun_apache,float64,19262,21.00247511257946,476,APACHE covariate,mmol/L,numeric,The blood urea nitrogen concentration measured during the first 24 hours which results in the highest APACHE III score,,0.005190103911114019,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
creatinine_apache,float64,18853,20.55651870509088,1127,APACHE covariate,micromol/L,numeric,The creatinine concentration measured during the first 24 hours which results in the highest APACHE III score,70,0.012288334260137604,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
fio2_apache,float64,70868,77.27148822958577,82,APACHE covariate,Fraction,numeric,The fraction of inspired oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,0.21,0.0008940935309061965,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
gcs_eyes_apache,float64,1901,2.072770490552048,4,APACHE covariate,,integer,The eye opening component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,4,4.361431858079007e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
gcs_motor_apache,float64,1901,2.072770490552048,6,APACHE covariate,,integer,The motor component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,6,6.542147787118511e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
gcs_unable_apache,float64,1037,1.1307012092069826,2,APACHE covariate,,binary,Whether the Glasgow Coma Scale was unable to be assessed due to patient sedation,1,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
gcs_verbal_apache,float64,1901,2.072770490552048,5,APACHE covariate,,integer,The verbal component of the Glasgow Coma Scale measured during the first 24 hours which results in the highest APACHE III score,5,5.4517898225987594e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
glucose_apache,float64,11036,12.033190496439982,565,APACHE covariate,mmol/L,numeric,The glucose concentration measured during the first 24 hours which results in the highest APACHE III score,5,0.006160522499536598,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
heart_rate_apache,float64,878,0.957334292848342,149,APACHE covariate,Beats per minute,numeric,The heart rate measured during the first 24 hours which results in the highest APACHE III score,75,0.0016246333671344302,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
hematocrit_apache,float64,19878,21.67413561872363,353,APACHE covariate,Fraction,numeric,The hematocrit measured during the first 24 hours which results in the highest APACHE III score,0.4,0.003848963614754724,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
intubated_apache,float64,715,0.7796059446316226,2,APACHE covariate,,binary,Whether the patient was intubated at the time of the highest scoring arterial blood gas used in the oxygenation score,0,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
map_apache,float64,994,1.0838158167326335,161,APACHE covariate,Millimetres of mercury,numeric,The mean arterial pressure measured during the first 24 hours which results in the highest APACHE III score,,0.0017554763228768006,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
paco2_apache,float64,70868,77.27148822958577,704,APACHE covariate,Millimetres of mercury,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,40,0.007676120070219053,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
paco2_for_ph_apache,float64,70868,77.27148822958577,704,APACHE covariate,Millimetres of mercury,numeric,The partial pressure of carbon dioxide from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,40,0.007676120070219053,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
pao2_apache,float64,70868,77.27148822958577,2003,APACHE covariate,Millimetres of mercury,numeric,The partial pressure of oxygen from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for oxygenation,80,0.02183987002933063,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
ph_apache,float64,70868,77.27148822958577,555,APACHE covariate,,numeric,The pH from the arterial blood gas taken during the first 24 hours of unit admission which produces the highest APACHE III score for acid-base disturbance,7.4,0.006051486703084623,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
resprate_apache,float64,1234,1.3455017282173738,74,APACHE covariate,Breaths per minute,numeric,The respiratory rate measured during the first 24 hours which results in the highest APACHE III score,14,0.0008068648937446163,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
sodium_apache,float64,18600,20.280658140067384,119,APACHE covariate,mmol/L,numeric,The sodium concentration measured during the first 24 hours which results in the highest APACHE III score,145,0.0012975259777785048,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
temp_apache,float64,4108,4.47919051824714,191,APACHE covariate,Degrees Celsius,numeric,The temperature measured during the first 24 hours which results in the highest APACHE III score,33,0.002082583712232726,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
urineoutput_apache,float64,48998,53.4253595455388,24772,APACHE covariate,Millilitres,numeric,The total urine output for the first 24 hours,2000,0.2701034749708329,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
ventilated_apache,float64,715,0.7796059446316226,2,APACHE covariate,,binary,"Whether the patient was invasively ventilated at the time of the highest scoring arterial blood gas using the oxygenation scoring algorithm, including any mode of positive pressure ventilation delivered through a circuit attached to an endo-tracheal tube or tracheostomy",1,2.1807159290395036e-05,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
wbc_apache,float64,22012,24.000959515008777,3075,APACHE covariate,10^9/L,numeric,The white blood cell count measured during the first 24 hours which results in the highest APACHE III score,10,0.03352850740898237,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_diasbp_invasive_max,float64,67984,74.12689585991082,145,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",60,0.0015810190485536402,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_diasbp_invasive_min,float64,67984,74.12689585991082,85,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, invasively measured",60,0.000926804269841789,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_diasbp_max,float64,165,0.179909064145759,120,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",60,0.0013084295574237023,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_diasbp_min,float64,165,0.179909064145759,78,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",60,0.0008504792123254064,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_diasbp_noninvasive_max,float64,1040,1.133972283100542,120,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",60,0.0013084295574237023,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_diasbp_noninvasive_min,float64,1040,1.133972283100542,78,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",60,0.0008504792123254064,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_heartrate_max,float64,145,0.158101904855364,120,vitals,Beats per minute,numeric,The patient's highest heart rate during the first 24 hours of their unit stay,75,0.0013084295574237023,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_heartrate_min,float64,145,0.158101904855364,154,vitals,Beats per minute,numeric,The patient's lowest heart rate during the first 24 hours of their unit stay,75,0.001679151265360418,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_mbp_invasive_max,float64,67777,73.90119176125522,285,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, invasively measured",80,0.003107520198881293,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_mbp_invasive_min,float64,67777,73.90119176125522,118,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, invasively measured",80,0.0012866223981333072,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_mbp_max,float64,220,0.2398787521943454,125,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",80,0.0013629474556496898,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_mbp_min,float64,220,0.2398787521943454,91,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",80,0.0009922257477129742,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_mbp_noninvasive_max,float64,1479,1.612639429524713,122,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",80,0.0013302367167140972,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_mbp_noninvasive_min,float64,1479,1.612639429524713,91,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first 24 hours of their unit stay, non-invasively measured",80,0.0009922257477129742,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_resprate_max,float64,385,0.4197878163401045,79,vitals,Breaths per minute,numeric,The patient's highest respiratory rate during the first 24 hours of their unit stay,14,0.000861382791970604,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_resprate_min,float64,385,0.4197878163401045,55,vitals,Breaths per minute,numeric,The patient's lowest respiratory rate during the first 24 hours of their unit stay,14,0.0005996968804858635,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_spo2_max,float64,333,0.3630892021850773,43,vitals,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first 24 hours of their unit stay,,0.0004688539247434933,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_spo2_min,float64,333,0.3630892021850773,101,vitals,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first 24 hours of their unit stay,100,0.0011012615441649493,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_sysbp_invasive_max,float64,67959,74.09963691079781,225,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",120,0.0024533054201694416,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_sysbp_invasive_min,float64,67959,74.09963691079781,163,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, invasively measured",120,0.0017772834821671954,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_sysbp_max,float64,159,0.1733669163586405,143,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",120,0.001559211889263245,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_sysbp_min,float64,159,0.1733669163586405,120,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, either non-invasively or invasively measured",120,0.0013084295574237023,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_sysbp_noninvasive_max,float64,1027,1.119797629561785,143,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",120,0.001559211889263245,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_sysbp_noninvasive_min,float64,1027,1.119797629561785,120,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first 24 hours of their unit stay, non-invasively measured",120,0.0013084295574237023,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_temp_max,float64,2324,2.533991909543904,186,vitals,Degrees Celsius,numeric,"The patient's highest core temperature during the first 24 hours of their unit stay, invasively measured",33,0.0020280658140067382,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_temp_min,float64,2324,2.533991909543904,209,vitals,Degrees Celsius,numeric,The patient's lowest core temperature during the first 24 hours of their unit stay,33,0.0022788481458462812,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_diasbp_invasive_max,float64,74928,81.69834156553597,103,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, invasively measured",60,0.0011230687034553444,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_diasbp_invasive_min,float64,74928,81.69834156553597,86,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, invasively measured",60,0.0009377078494869866,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_diasbp_max,float64,3619,3.946005473596982,107,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",60,0.0011666830220361344,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_diasbp_min,float64,3619,3.946005473596982,92,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",60,0.0010031293273581718,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_diasbp_noninvasive_max,float64,7350,8.014131039220176,108,vitals,Millimetres of mercury,numeric,"The patient's highest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",60,0.001177586601681332,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_diasbp_noninvasive_min,float64,7350,8.014131039220176,93,vitals,Millimetres of mercury,numeric,"The patient's lowest diastolic blood pressure during the first hour of their unit stay, non-invasively measured",60,0.0010140329070033691,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_heartrate_max,float64,2790,3.042098721010108,119,vitals,Beats per minute,numeric,The patient's highest heart rate during the first hour of their unit stay,75,0.0012975259777785048,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_heartrate_min,float64,2790,3.042098721010108,109,vitals,Beats per minute,numeric,The patient's lowest heart rate during the first hour of their unit stay,75,0.0011884901813265295,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_mbp_invasive_max,float64,74844,81.60675149651631,247,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, invasively measured",80,0.0026931841723637872,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_mbp_invasive_min,float64,74844,81.60675149651631,133,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, invasively measured",80,0.00145017609281127,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_mbp_max,float64,4639,5.058170597407129,117,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",80,0.0012757188184881097,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_mbp_min,float64,4639,5.058170597407129,107,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",80,0.0011666830220361344,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_mbp_noninvasive_max,float64,9084,9.904811749697426,115,vitals,Millimetres of mercury,numeric,"The patient's highest mean blood pressure during the first hour of their unit stay, non-invasively measured",80,0.0012539116591977146,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_mbp_noninvasive_min,float64,9084,9.904811749697426,107,vitals,Millimetres of mercury,numeric,"The patient's lowest mean blood pressure during the first hour of their unit stay, non-invasively measured",80,0.0011666830220361344,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_resprate_max,float64,4357,4.750689651412559,50,vitals,Breaths per minute,numeric,The patient's highest respiratory rate during the first hour of their unit stay,14,0.0005451789822598759,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_resprate_min,float64,4357,4.750689651412559,91,vitals,Breaths per minute,numeric,The patient's lowest respiratory rate during the first hour of their unit stay,14,0.0009922257477129742,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_spo2_max,float64,4185,4.563148081515162,72,vitals,Percentage,numeric,The patient's highest peripheral oxygen saturation during the first hour of their unit stay,,0.0007850577344542213,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_spo2_min,float64,4185,4.563148081515162,100,vitals,Percentage,numeric,The patient's lowest peripheral oxygen saturation during the first hour of their unit stay,100,0.0010903579645197517,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_sysbp_invasive_max,float64,74915,81.68416691199721,181,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, invasively measured",120,0.0019735479157807507,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_sysbp_invasive_min,float64,74915,81.68416691199721,168,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, invasively measured",120,0.0018318013803931832,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
h1_sysbp_max,float64,3611,3.937282609880824,149,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",120,0.0016246333671344302,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_sysbp_min,float64,3611,3.937282609880824,142,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, either non-invasively or invasively measured",120,0.0015483083096180475,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_sysbp_noninvasive_max,float64,7341,8.004317817539498,149,vitals,Millimetres of mercury,numeric,"The patient's highest systolic blood pressure during the first hour of their unit stay, non-invasively measured",120,0.0016246333671344302,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_sysbp_noninvasive_min,float64,7341,8.004317817539498,143,vitals,Millimetres of mercury,numeric,"The patient's lowest systolic blood pressure during the first hour of their unit stay, non-invasively measured",120,0.001559211889263245,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_temp_max,float64,21732,23.695659284943247,294,vitals,Degrees Celsius,numeric,"The patient's highest core temperature during the first hour of their unit stay, invasively measured",33,0.0032056524156880706,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
h1_temp_min,float64,21732,23.695659284943247,303,vitals,Degrees Celsius,numeric,The patient's lowest core temperature during the first hour of their unit stay,33,0.003303784632494848,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_albumin_max,float64,49096,53.53221462606174,35,labs,,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,30,0.00038162528758191316,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_albumin_min,float64,49096,53.53221462606174,35,labs,g/L,numeric,The lowest albumin concentration of the patient in their serum during the first 24 hours of their unit stay,30,0.00038162528758191316,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_bilirubin_max,float64,53673,58.522783029668645,374,labs,micromol/L,numeric,The highest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,20,0.004077938787303872,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_bilirubin_min,float64,53673,58.522783029668645,357,labs,micromol/L,numeric,The lowest bilirubin concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,20,0.003892577933335514,True,False,INVESTIGATE,High missingness.,NOT_REVIEWED,,
d1_bun_max,float64,10514,11.464023638960672,495,labs,mmol/L,numeric,The highest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5,0.005397271924372771,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_bun_min,float64,10514,11.464023638960672,472,labs,mmol/L,numeric,The lowest blood urea nitrogen concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5,0.005146489592533229,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_calcium_max,float64,13069,14.249888238308635,47,labs,mmol/L,numeric,The highest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,2.5,0.0005124682433242833,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_calcium_min,float64,13069,14.249888238308635,49,labs,mmol/L,numeric,The lowest calcium concentration of the patient in their serum during the first 24 hours of their unit stay,2.5,0.0005342754026146784,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_creatinine_max,float64,10169,11.087850141201356,1187,labs,micromol/L,numeric,The highest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,70,0.012942549038849454,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_creatinine_min,float64,10169,11.087850141201356,1093,labs,micromol/L,numeric,The lowest creatinine concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,70,0.011917612552200887,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_glucose_max,float64,5807,6.331708699966199,538,labs,mmol/L,numeric,The highest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5,0.005866125849116265,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_glucose_min,float64,5807,6.331708699966199,256,labs,mmol/L,numeric,The lowest glucose concentration of the patient in their serum or plasma during the first 24 hours of their unit stay,5,0.0027913163891705645,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
d1_hco3_max,float64,15071,16.43278488327718,223,labs,mmol/L,numeric,The highest bicarbonate concentration for the patient in their serum or plasma during the first 24 hours of their unit stay,30,0.0024314982608790465,False,False,KEEP,No high-level exclusion or investigation rule triggered.,NOT_REVIEWED,,
